municipio;regiao_administrativa;regiao_governo;populacao2017;pib2017;pib_per_capita2017;score;ranking;tarifa_agua_norm;tarifa_esgoto_norm;atendimento;coleta;tratamento;inv_per_capita_norm;perdas_norm;desempenho_norm
Urupês;São José do Rio Preto;Catanduva;   13655;   390043; 28,564116;76,68404;  1; 90,744102; 91,69279; 88,99;100,00;100,00;0,000000e+00; 89,9452717; 52,100131
Vista Alegre do Alto;Barretos;Barretos;    8335;   353695; 42,434913;76,43109;  2; 77,495463; 88,71473; 92,24; 99,12; 99,12;2,059774e+00; 79,2287132; 73,470015
Taiúva;Barretos;Barretos;    5603;   116073; 20,716223;74,93938;  3; 95,825771; 96,86520;100,00; 97,69; 97,69;6,420481e-02;100,0000000; 11,379866
Taquaral;Ribeirão Preto;Ribeirão Preto;    2823;    38032; 13,472193;74,66013;  4; 90,381125; 93,41693;100,00; 99,32; 99,32;0,000000e+00;100,0000000; 14,842970
Dobrada;Região Administrativa Central;Araraquara;    8744;   117041; 13,385293;74,14633;  5; 92,740472; 94,51411; 97,77;100,00;100,00;0,000000e+00; 74,7359043; 33,410121
Sabino;Bauru;Lins;    5549;   118111; 21,285096;73,61050;  6; 84,029038; 86,67712;100,00; 81,47; 81,47;0,000000e+00; 97,5054092; 57,732473
Ibaté;Região Administrativa Central;São Carlos;   34226;   915873; 26,759569;73,46261;  7; 78,039927; 88,08777; 96,01; 95,88; 95,88;3,273528e-01; 99,9236350; 33,552177
Igaraçu do Tietê;Bauru;Jaú;   24596;   299508; 12,177102;73,30593;  8; 86,751361; 89,96865; 98,06; 96,13; 85,74;0,000000e+00; 99,2745323; 30,522921
Cerqueira César;Sorocaba;Avaré;   19495;   753006; 38,625596;73,25622;  9; 89,110708; 91,84953; 96,09;100,00; 74,06;4,165128e-01; 81,8123966; 52,710589
Pradópolis;Ribeirão Preto;Ribeirão Preto;   20516;   840208; 40,953792;73,19025; 10; 94,192377; 96,08150; 99,55;100,00;100,00;0,000000e+00; 62,3647703; 33,333333
Jaci;São José do Rio Preto;São José do Rio Preto;    6728;   342924; 50,969679;73,06693; 11; 88,566243; 93,73041; 86,11; 98,80; 98,80;0,000000e+00;100,0000000; 18,528757
Bilac;Araçatuba;Araçatuba;    7837;   184903; 23,593594;73,05472; 12; 78,402904; 86,20690; 98,59; 88,24; 88,24;0,000000e+00; 99,5418099; 45,216156
Guaiçara;Bauru;Lins;   11869;   185266; 15,609234;72,79305; 13; 89,292196; 93,10345;100,00; 97,39; 97,39;1,224169e-01; 88,1761487; 16,870153
Tabapuã;São José do Rio Preto;Catanduva;   12251;   241952; 19,749571;72,51996; 14; 86,569873; 87,14734;100,00; 88,26; 88,26;0,000000e+00; 90,0852743; 39,837211
Potirendaba;São José do Rio Preto;São José do Rio Preto;   17002;   531603; 31,267086;72,45736; 15; 90,381125; 92,63323; 98,85; 87,79; 87,79;0,000000e+00;100,0000000; 22,214543
Tupi Paulista;Presidente Prudente;Dracena;   15321;   282161; 18,416618;72,40102; 16; 74,410163; 82,28840;100,00; 97,44; 97,44;0,000000e+00; 87,4506809; 40,178914
Nantes;Presidente Prudente;Presidente Prudente;    3049;   150435; 49,339128;71,98736; 17; 85,117967; 90,43887;100,00;100,00;100,00;0,000000e+00; 83,0342370; 17,307840
Barbosa;Araçatuba;Araçatuba;    7251;    89433; 12,333885;71,94175; 18; 90,562613; 91,53605; 98,91; 97,01; 93,69;4,237181e-02; 84,7397225; 19,043231
Conchal;Campinas;Limeira;   27554;   656033; 23,808993;71,88535; 19; 86,569873; 91,37931; 99,03; 92,47; 77,96;9,400708e-01; 91,8798524; 34,853720
Nuporanga;Franca;São Joaquim da Barra;    7341;   527532; 71,861054;71,80298; 20; 78,402904; 90,12539; 98,38; 99,34; 99,34;1,776379e-01; 61,7793051; 46,878599
Rio Claro;Campinas;Rio Claro;  202952;  9418391; 46,406988;71,65454; 21; 50,453721; 73,04075;100,00; 97,79; 89,98;0,000000e+00; 80,6541937; 81,317669
Guaimbê;Bauru;Lins;    5737;    72070; 12,562315;71,45470; 22; 98,003630; 99,21630; 99,90; 86,06; 86,06;0,000000e+00; 81,8378516; 20,559779
Santa Lúcia;Região Administrativa Central;Araraquara;    8758;   127361; 14,542247;71,32536; 23; 92,558984; 96,08150; 93,42; 98,97; 98,97;0,000000e+00; 77,3450426; 13,257314
Itirapina;Campinas;Rio Claro;   17589;   386254; 21,959975;71,25470; 24; 71,506352; 68,65204; 79,39;100,00;100,00;1,020144e+00; 95,0999109; 54,369193
Novais;São José do Rio Preto;Catanduva;    5527;    60081; 10,870454;71,14053; 25; 97,822142; 96,70846; 91,05; 92,31; 61,54;0,000000e+00;100,0000000; 29,693619
Bálsamo;São José do Rio Preto;São José do Rio Preto;    8908;   203308; 22,823080;71,12100; 26; 91,470054; 92,63323;100,00; 80,77; 80,77;3,511745e-02;100,0000000; 23,289565
Bariri;Bauru;Jaú;   34602;  1146339; 33,129270;70,92344; 27; 83,484574; 88,08777; 99,91; 91,70; 91,70;1,383874e-01; 83,0724195; 29,294325
Clementina;Araçatuba;Araçatuba;    8254;   245147; 29,700388;70,88773; 28; 75,317604; 84,95298; 95,31; 98,48; 98,48;2,266731e+00; 76,6959399; 35,598556
Holambra;Campinas;Campinas;   14012;   908165; 64,813374;70,63059; 29; 63,883848; 68,96552; 95,00;100,00;100,00;1,877504e+01; 73,3231513; 45,097136
Reginópolis;Bauru;Bauru;    9042;   147144; 16,273391;70,58014; 30; 83,666062; 87,93103; 94,10; 94,57; 89,45;0,000000e+00; 76,7723050; 38,151732
Braúna;Araçatuba;Araçatuba;    5557;    94531; 17,011157;70,54065; 31; 72,050817; 75,07837; 88,15; 81,66; 81,66;0,000000e+00;100,0000000; 65,726023
João Ramalho;Marília;Tupã;    4468;   179068; 40,077887;69,59040; 32; 71,143376; 86,67712; 85,38; 81,23; 81,23;0,000000e+00; 51,0627466;100,000000
Rancharia;Presidente Prudente;Presidente Prudente;   29821;  1323712; 44,388585;69,48541; 33; 86,751361; 91,06583; 93,47; 99,83; 99,83;8,689847e-01; 61,2574774; 22,809644
Américo de Campos;São José do Rio Preto;Votuporanga;    5967;   104697; 17,546003;69,36468; 34; 90,381125; 92,47649; 85,63; 83,84; 83,84;9,999583e-01; 93,6617029; 24,088152
Taiaçu;Barretos;Barretos;    6255;    92579; 14,800799;69,30787; 35; 88,929220; 91,37931;100,00; 89,41; 89,41;0,000000e+00; 60,5574647; 34,776933
Ituverava;Franca;Franca;   41414;  1619182; 39,097455;69,04466; 36; 80,943739; 87,61755;100,00;100,00;100,00;6,647328e-01; 52,0554919; 31,075789
Catanduva;São José do Rio Preto;Catanduva;  120691;  3974659; 32,932522;68,91986; 37; 66,424682; 61,59875; 98,28;100,00; 86,78;1,828056e+00; 89,0543464; 47,393074
Mirassolândia;São José do Rio Preto;São José do Rio Preto;    4758;   110125; 23,145229;68,91851; 38;100,000000; 98,90282;100,00; 75,76; 75,76;0,000000e+00;100,0000000;  0,925286
Borá;Marília;Tupã;     839;    74165; 88,396901;68,87059; 39; 53,357532; 62,22571;100,00;100,00;100,00;8,771295e-01;100,0000000; 34,504338
Adolfo;São José do Rio Preto;São José do Rio Preto;    3609;    99735; 27,635079;68,77694; 40; 53,176044; 61,75549; 99,89;100,00;100,00;3,554181e+00;100,0000000; 31,839822
Santópolis do Aguapeí;Araçatuba;Araçatuba;    4687;    60817; 12,975677;68,77212; 41; 53,176044; 61,91223; 89,93;100,00;100,00;2,563152e+01; 99,9618175; 19,565384
Ouroeste;São José do Rio Preto;Fernandópolis;    9897;   439499; 44,407295;68,67497; 42; 50,816697; 60,34483;100,00;100,00;100,00;1,653575e+00; 99,1854397; 37,399217
São João das Duas Pontes;São José do Rio Preto;Fernandópolis;    2601;    42032; 16,159938;68,65870; 43; 51,905626; 61,28527; 99,96;100,00;100,00;4,655483e+00; 97,2890416; 34,174153
Paranapuã;São José do Rio Preto;Jales;    4051;    98637; 24,348803;68,49479; 44; 52,450091; 60,97179;100,00;100,00;100,00;1,201133e+00; 99,4145348; 33,920756
Santana da Ponte Pensa;São José do Rio Preto;Jales;    1555;    34554; 22,221222;68,43584; 45; 53,357532; 62,22571; 88,85;100,00;100,00;6,667883e+00;100,0000000; 36,385625
Queiroz;Marília;Tupã;    3267;   368857;112,903887;68,28457; 46; 52,813067; 62,06897;100,00;100,00;100,00;2,626176e+00;100,0000000; 28,768333
Santa Albertina;São José do Rio Preto;Jales;    5999;   194015; 32,341224;68,22814; 47; 53,901996; 62,69592;100,00;100,00;100,00;6,338094e-01; 98,7654321; 29,827997
Guarani d'Oeste;São José do Rio Preto;Fernandópolis;    2017;    34008; 16,860684;68,22327; 48; 49,546279; 59,56113; 99,15;100,00;100,00;5,980746e+00;100,0000000; 31,548030
Colina;Barretos;Barretos;   18376;   948979; 51,642305;68,21468; 49; 75,499093; 79,46708; 88,18;100,00;100,00;1,443691e+00; 67,5830470; 33,544498
Pontes Gestal;São José do Rio Preto;Votuporanga;    2594;   152387; 58,745952;68,15617; 50; 51,179673; 60,34483;100,00; 95,56; 95,56;2,598711e+00;100,0000000; 40,006143
Meridiano;São José do Rio Preto;Fernandópolis;    3892;   289767; 74,451953;68,09490; 51; 51,905626; 60,65831; 99,17; 99,89; 99,89;4,388772e+00; 95,6344661; 33,221992
Populina;São José do Rio Preto;Fernandópolis;    4240;    98374; 23,201415;68,03089; 52; 53,539020; 62,53918; 99,52;100,00;100,00;2,664113e+00;100,0000000; 25,984796
Santa Ernestina;Região Administrativa Central;Araraquara;    5662;    92068; 16,260685;68,00616; 53; 52,268603; 61,75549;100,00;100,00;100,00;3,746877e+00; 93,4326079; 32,845734
Dracena;Presidente Prudente;Dracena;   46324;  1166835; 25,188563;67,99781; 54; 63,157895; 76,64577;100,00; 96,00; 96,00;1,235955e+00; 75,8050146; 35,137833
Andradina;Araçatuba;Andradina;   57350;  1971995; 34,385266;67,95267; 55; 56,261343; 64,89028; 96,89;100,00;100,00;1,316442e+01; 72,6740486; 39,741227
Regente Feijó;Presidente Prudente;Presidente Prudente;   19985;   655921; 32,820665;67,89285; 56; 52,631579; 61,59875; 99,86;100,00;100,00;4,307926e+00; 95,3926435; 29,351916
Dolcinópolis;São José do Rio Preto;Jales;    2136;    44854; 20,999064;67,82648; 57; 49,727768; 58,62069;100,00;100,00;100,00;1,259612e+00; 99,8854525; 33,118329
Severínia;Barretos;Barretos;   17115;   233916; 13,667309;67,80228; 58; 83,666062; 88,87147;100,00; 95,33; 94,38;4,785520e-01; 56,7519409; 22,940183
Nova Independência;Araçatuba;Andradina;    3745;   134231; 35,842724;67,75559; 59; 94,192377; 94,67085;100,00; 93,08; 93,08;6,619262e-01; 64,8084511;  1,551102
Cândido Mota;Marília;Assis;   31263;  1005667; 32,167962;67,70521; 60; 75,499093; 79,62382; 93,77; 98,00; 98,00;3,562143e-01; 68,7030673; 27,689472
Irapuã;São José do Rio Preto;Catanduva;    7878;   149375; 18,961031;67,67550; 61; 52,087114; 60,81505; 87,78; 99,56; 99,56;2,332856e+00;100,0000000; 39,268986
José Bonifácio;São José do Rio Preto;São José do Rio Preto;   36198;  1389991; 38,399663;67,61113; 62; 86,932849; 85,89342; 90,60; 83,30; 83,30;0,000000e+00; 73,6286114; 37,234124
Guaraci;Barretos;Barretos;   10964;   376680; 34,356074;67,58740; 63; 82,940109; 89,02821; 89,97; 85,22; 85,22;0,000000e+00; 82,9196894; 25,401213
Brotas;Campinas;Rio Claro;   23858;   804016; 33,700059;67,58737; 64; 75,680581; 77,89969;100,00;100,00;100,00;2,039986e+00; 56,9937635; 28,084927
Guapiaçu;São José do Rio Preto;São José do Rio Preto;   20637;   528980; 25,632602;67,55319; 65; 79,854809; 84,79624; 88,43; 83,48; 83,48;0,000000e+00; 52,5391371; 67,845351
Santa Clara d'Oeste;São José do Rio Preto;Jales;    2134;    67158; 31,470478;67,53948; 66; 50,816697; 59,71787;100,00;100,00;100,00;2,308316e+00; 97,0344915; 30,438455
Pongaí;Bauru;Lins;    3480;    76270; 21,916667;67,51402; 67; 51,724138; 60,03135; 96,53;100,00;100,00;1,416064e+00; 99,7072674; 30,703371
Vitória Brasil;São José do Rio Preto;Jales;    1833;    33787; 18,432624;67,49523; 68; 52,268603; 61,75549; 89,59; 97,05; 97,05;2,503504e+00; 97,3654066; 42,378868
General Salgado;Araçatuba;Araçatuba;   10951;   259863; 23,729614;67,47086; 69; 51,542650; 60,81505;100,00; 97,68; 97,68;1,943113e+00; 99,0072547; 31,098825
Ribeirão dos Índios;Presidente Prudente;Presidente Prudente;    2243;    37723; 16,818101;67,37601; 70; 54,627949; 63,47962; 90,53;100,00;100,00;6,801674e-01; 96,6526664; 33,037703
Tarumã;Marília;Assis;   14547;   890298; 61,201485;67,30609; 71; 50,453721; 60,34483; 99,41; 98,55; 98,55;2,143654e+00; 86,9670358; 42,029486
