municipio;regiao_administrativa;regiao_governo;populacao2017;pib2017;pib_per_capita2017;score;ranking;tarifa_agua_norm;tarifa_esgoto_norm;atendimento;coleta;tratamento;sqrt_inv_per_capita_norm;perdas_norm;desempenho_norm
Vista Alegre do Alto;Barretos;Barretos;    8335;   353695; 42,434913;77,96760;  1; 77,495463; 88,71473; 92,24; 99,12; 99,12; 14,3519125; 79,2287132; 73,470015
Urupês;São José do Rio Preto;Catanduva;   13655;   390043; 28,564116;76,68404;  2; 90,744102; 91,69279; 88,99;100,00;100,00;  0,0000000; 89,9452717; 52,100131
Taiúva;Barretos;Barretos;    5603;   116073; 20,716223;75,24809;  3; 95,825771; 96,86520;100,00; 97,69; 97,69;  2,5338668;100,0000000; 11,379866
Taquaral;Ribeirão Preto;Ribeirão Preto;    2823;    38032; 13,472193;74,66013;  4; 90,381125; 93,41693;100,00; 99,32; 99,32;  0,0000000;100,0000000; 14,842970
Dobrada;Região Administrativa Central;Araraquara;    8744;   117041; 13,385293;74,14633;  5; 92,740472; 94,51411; 97,77;100,00;100,00;  0,0000000; 74,7359043; 33,410121
Ibaté;Região Administrativa Central;São Carlos;   34226;   915873; 26,759569;74,13687;  6; 78,039927; 88,08777; 96,01; 95,88; 95,88;  5,7214751; 99,9236350; 33,552177
Cerqueira César;Sorocaba;Avaré;   19495;   753006; 38,625596;74,01088;  7; 89,110708; 91,84953; 96,09;100,00; 74,06;  6,4537802; 81,8123966; 52,710589
Holambra;Campinas;Campinas;   14012;   908165; 64,813374;73,69998;  8; 63,883848; 68,96552; 95,00;100,00;100,00; 43,3301685; 73,3231513; 45,097136
Sabino;Bauru;Lins;    5549;   118111; 21,285096;73,61050;  9; 84,029038; 86,67712;100,00; 81,47; 81,47;  0,0000000; 97,5054092; 57,732473
Igaraçu do Tietê;Bauru;Jaú;   24596;   299508; 12,177102;73,30593; 10; 86,751361; 89,96865; 98,06; 96,13; 85,74;  0,0000000; 99,2745323; 30,522921
Guaiçara;Bauru;Lins;   11869;   185266; 15,609234;73,21509; 11; 89,292196; 93,10345;100,00; 97,39; 97,39;  3,4988122; 88,1761487; 16,870153
Pradópolis;Ribeirão Preto;Ribeirão Preto;   20516;   840208; 40,953792;73,19025; 12; 94,192377; 96,08150; 99,55;100,00;100,00;  0,0000000; 62,3647703; 33,333333
Jaci;São José do Rio Preto;São José do Rio Preto;    6728;   342924; 50,969679;73,06693; 13; 88,566243; 93,73041; 86,11; 98,80; 98,80;  0,0000000;100,0000000; 18,528757
Bilac;Araçatuba;Araçatuba;    7837;   184903; 23,593594;73,05472; 14; 78,402904; 86,20690; 98,59; 88,24; 88,24;  0,0000000; 99,5418099; 45,216156
Conchal;Campinas;Limeira;   27554;   656033; 23,808993;72,97981; 15; 86,569873; 91,37931; 99,03; 92,47; 77,96;  9,6957250; 91,8798524; 34,853720
Tabapuã;São José do Rio Preto;Catanduva;   12251;   241952; 19,749571;72,51996; 16; 86,569873; 87,14734;100,00; 88,26; 88,26;  0,0000000; 90,0852743; 39,837211
Clementina;Araçatuba;Araçatuba;    8254;   245147; 29,700388;72,48634; 17; 75,317604; 84,95298; 95,31; 98,48; 98,48; 15,0556656; 76,6959399; 35,598556
Potirendaba;São José do Rio Preto;São José do Rio Preto;   17002;   531603; 31,267086;72,45736; 18; 90,381125; 92,63323; 98,85; 87,79; 87,79;  0,0000000;100,0000000; 22,214543
Tupi Paulista;Presidente Prudente;Dracena;   15321;   282161; 18,416618;72,40102; 19; 74,410163; 82,28840;100,00; 97,44; 97,44;  0,0000000; 87,4506809; 40,178914
Itirapina;Campinas;Rio Claro;   17589;   386254; 21,959975;72,38971; 20; 71,506352; 68,65204; 79,39;100,00;100,00; 10,1002201; 95,0999109; 54,369193
Nuporanga;Franca;São Joaquim da Barra;    7341;   527532; 71,861054;72,30761; 21; 78,402904; 90,12539; 98,38; 99,34; 99,34;  4,2147117; 61,7793051; 46,878599
Barbosa;Araçatuba;Araçatuba;    7251;    89433; 12,333885;72,19376; 22; 90,562613; 91,53605; 98,91; 97,01; 93,69;  2,0584414; 84,7397225; 19,043231
Nantes;Presidente Prudente;Presidente Prudente;    3049;   150435; 49,339128;71,98736; 23; 85,117967; 90,43887;100,00;100,00;100,00;  0,0000000; 83,0342370; 17,307840
Santópolis do Aguapeí;Araçatuba;Araçatuba;    4687;    60817; 12,975677;71,89663; 24; 53,176044; 61,91223; 89,93;100,00;100,00; 50,6275798; 99,9618175; 19,565384
Rio Claro;Campinas;Rio Claro;  202952;  9418391; 46,406988;71,65454; 25; 50,453721; 73,04075;100,00; 97,79; 89,98;  0,0000000; 80,6541937; 81,317669
Guaimbê;Bauru;Lins;    5737;    72070; 12,562315;71,45470; 26; 98,003630; 99,21630; 99,90; 86,06; 86,06;  0,0000000; 81,8378516; 20,559779
Bariri;Bauru;Jaú;   34602;  1146339; 33,129270;71,37114; 27; 83,484574; 88,08777; 99,91; 91,70; 91,70;  3,7200457; 83,0724195; 29,294325
Bálsamo;São José do Rio Preto;São José do Rio Preto;    8908;   203308; 22,823080;71,35085; 28; 91,470054; 92,63323;100,00; 80,77; 80,77;  1,8739651;100,0000000; 23,289565
Santa Lúcia;Região Administrativa Central;Araraquara;    8758;   127361; 14,542247;71,32536; 29; 92,558984; 96,08150; 93,42; 98,97; 98,97;  0,0000000; 77,3450426; 13,257314
Novais;São José do Rio Preto;Catanduva;    5527;    60081; 10,870454;71,14053; 30; 97,822142; 96,70846; 91,05; 92,31; 61,54;  0,0000000;100,0000000; 29,693619
Andradina;Araçatuba;Andradina;   57350;  1971995; 34,385266;70,84246; 31; 56,261343; 64,89028; 96,89;100,00;100,00; 36,2828109; 72,6740486; 39,741227
Santana da Ponte Pensa;São José do Rio Preto;Jales;    1555;    34554; 22,221222;70,83014; 32; 53,357532; 62,22571; 88,85;100,00;100,00; 25,8222452;100,0000000; 36,385625
São João das Duas Pontes;São José do Rio Preto;Fernandópolis;    2601;    42032; 16,159938;70,77383; 33; 51,905626; 61,28527; 99,96;100,00;100,00; 21,5765687; 97,2890416; 34,174153
Adolfo;São José do Rio Preto;São José do Rio Preto;    3609;    99735; 27,635079;70,68924; 34; 53,176044; 61,75549; 99,89;100,00;100,00; 18,8525356;100,0000000; 31,839822
Reginópolis;Bauru;Bauru;    9042;   147144; 16,273391;70,58014; 35; 83,666062; 87,93103; 94,10; 94,57; 89,45;  0,0000000; 76,7723050; 38,151732
Rancharia;Presidente Prudente;Presidente Prudente;   29821;  1323712; 44,388585;70,54203; 36; 86,751361; 91,06583; 93,47; 99,83; 99,83;  9,3219351; 61,2574774; 22,809644
Braúna;Araçatuba;Araçatuba;    5557;    94531; 17,011157;70,54065; 37; 72,050817; 75,07837; 88,15; 81,66; 81,66;  0,0000000;100,0000000; 65,726023
Guarani d'Oeste;São José do Rio Preto;Fernandópolis;    2017;    34008; 16,860684;70,53263; 38; 49,546279; 59,56113; 99,15;100,00;100,00; 24,4555641;100,0000000; 31,548030
Américo de Campos;São José do Rio Preto;Votuporanga;    5967;   104697; 17,546003;70,48966; 39; 90,381125; 92,47649; 85,63; 83,84; 83,84;  9,9997914; 93,6617029; 24,088152
Catanduva;São José do Rio Preto;Catanduva;  120691;  3974659; 32,932522;70,38143; 40; 66,424682; 61,59875; 98,28;100,00; 86,78; 13,5205608; 89,0543464; 47,393074
Meridiano;São José do Rio Preto;Fernandópolis;    3892;   289767; 74,451953;70,16497; 41; 51,905626; 60,65831; 99,17; 99,89; 99,89; 20,9493951; 95,6344661; 33,221992
Ouroeste;São José do Rio Preto;Fernandópolis;    9897;   439499; 44,407295;70,07567; 42; 50,816697; 60,34483;100,00;100,00;100,00; 12,8591423; 99,1854397; 37,399217
Queiroz;Marília;Tupã;    3267;   368857;112,903887;69,98198; 43; 52,813067; 62,06897;100,00;100,00;100,00; 16,2054809;100,0000000; 28,768333
Ituverava;Franca;Franca;   41414;  1619182; 39,097455;69,98071; 44; 80,943739; 87,61755;100,00;100,00;100,00;  8,1531146; 52,0554919; 31,075789
Santa Ernestina;Região Administrativa Central;Araraquara;    5662;    92068; 16,260685;69,95741; 45; 52,268603; 61,75549;100,00;100,00;100,00; 19,3568506; 93,4326079; 32,845734
Regente Feijó;Presidente Prudente;Presidente Prudente;   19985;   655921; 32,820665;69,94880; 46; 52,631579; 61,59875; 99,86;100,00;100,00; 20,7555427; 95,3926435; 29,351916
Borá;Marília;Tupã;     839;    74165; 88,396901;69,93164; 47; 53,357532; 62,22571;100,00;100,00;100,00;  9,3655191;100,0000000; 34,504338
Pontes Gestal;São José do Rio Preto;Votuporanga;    2594;   152387; 58,745952;69,84640; 48; 51,179673; 60,34483;100,00; 95,56; 95,56; 16,1205179;100,0000000; 40,006143
