"ranking","municipio","score","regiao_governo","regiao_administrativa","pib2017","pib_per_capita2017","tipo_prestador","populacao","inv_per_capita","tarifa_agua","desempenho","perdas","consumo_agua","atendimento","tarifa_esgoto","coleta","tratamento","tarifa_agua_norm","tarifa_esgoto_norm","inv_per_capita_norm","perdas_norm","desempenho_norm"
1,"Urupês",76.6840367340672,"Catanduva","São José do Rio Preto",390043,28.5641157085317,"Administração pública",13655,0,0.63,158.68,7.9,269.37,88.99,0.53,100,100,90.7441016333938,91.692789968652,0,89.9452717322133,52.1001305382784
2,"Vista Alegre do Alto",76.4310872629239,"Barretos","Barretos",353695,42.4349130173965,"Administração pública",8335,27.944382100626,1.36,214.34,16.32,159.85,92.24,0.72,99.12,99.12,77.4954627949183,88.7147335423198,2.05977392724884,79.2287132493318,73.4700145895723
3,"Taiúva",74.9393807857153,"Barretos","Barretos",116073,20.7162234517223,"Administração pública",5603,0.871048850574713,0.35,52.62,0,361.01,100,0.2,97.69,97.69,95.8257713248639,96.8652037617555,0.0642048088704624,100,11.3798663902327
4,"Taquaral",74.6601279070396,"Ribeirão Preto","Ribeirão Preto",38032,13.4721927027984,"Administração pública",2823,0,0.65,61.64,0,180.21,100,0.42,99.32,99.32,90.3811252268602,93.4169278996865,0,100,14.8429701297704
5,"Dobrada",74.1463254121886,"Araraquara","Região Administrativa Central",117041,13.3852927721866,"Administração pública",8744,0,0.52,110,19.85,326.03,97.77,0.35,100,100,92.7404718693285,94.5141065830721,0,74.7359042891689,33.4101205559395
6,"Sabino",73.6105045757102,"Lins","Bauru",118111,21.2850964137682,"Administração pública",5549,0,1,173.35,1.96,206.01,100,0.85,81.47,81.47,84.0290381125227,86.6771159874608,0,97.505409189258,57.7324733164401
7,"Ibaté",73.4626082956584,"São Carlos","Região Administrativa Central",915873,26.7595687489043,"Administração pública",34226,4.44110435984565,1.33,110.37,0.06,140.71,96.01,0.76,95.88,95.88,78.0399274047187,88.0877742946709,0.327352772935219,99.9236349751814,33.5521769177609
8,"Igaraçu do Tietê",73.3059333061641,"Jaú","Bauru",299508,12.1771019677996,"Administração pública",24596,0,0.85,102.48,0.57,352.12,98.06,0.64,96.13,85.74,86.7513611615245,89.9686520376176,0,99.274532264223,30.5229209859479
9,"Cerqueira César",73.256216989815,"Avaré","Sorocaba",753006,38.6255963067453,"Administração pública",19495,5.65071356326489,0.72,160.27,14.29,254.01,96.09,0.52,100,74.06,89.1107078039928,91.8495297805643,0.416512786937009,81.8123965890289,52.7105889579974
10,"Pradópolis",73.1902482249426,"Ribeirão Preto","Ribeirão Preto",840208,40.9537921622149,"Administração pública",20516,0,0.44,109.8,29.57,195.13,99.55,0.25,100,100,94.1923774954628,96.0815047021944,0,62.3647702685503,33.3333333333333
11,"Jaci",73.0669259415712,"São José do Rio Preto","São José do Rio Preto",342924,50.9696789536266,"Administração pública",6728,0,0.75,71.24,0,180.34,86.11,0.4,98.8,98.8,88.5662431941924,93.730407523511,0,100,18.528756814866
12,"Bilac",73.0547207807126,"Araçatuba","Araçatuba",184903,23.5935944876866,"Administração pública",7837,0,1.31,140.75,0.36,178.29,98.59,0.88,88.24,88.24,78.4029038112523,86.2068965517241,0,99.5418098510882,45.2161560316363
13,"Guaiçara",72.7930453270625,"Lins","Bauru",185266,15.6092341393546,"Administração pública",11869,1.66079574715508,0.71,66.92,9.29,172.51,100,0.44,97.39,97.39,89.2921960072595,93.1034482758621,0.122416869557447,88.1761486572483,16.870152806573
14,"Tabapuã",72.5199617184055,"Catanduva","São José do Rio Preto",241952,19.749571463554,"Administração pública",12251,0,0.86,126.74,7.79,237.42,100,0.82,88.26,88.26,86.5698729582577,87.1473354231975,0,90.0852742777141,39.8372110880749
15,"Potirendaba",72.4573621958684,"São José do Rio Preto","São José do Rio Preto",531603,31.26708622515,"Administração pública",17002,0,0.65,80.84,0,158.24,98.85,0.47,87.79,87.79,90.3811252268602,92.6332288401254,0,100,22.2145434999616
16,"Tupi Paulista",72.4010199679307,"Dracena","Presidente Prudente",282161,18.4166177142484,"Administração pública",15321,0,1.53,127.63,9.86,174.88,100,1.13,97.44,97.44,74.4101633393829,82.2884012539185,0,87.4506809214713,40.1789142286723
17,"Nantes",71.9873644708791,"Presidente Prudente","Presidente Prudente",150435,49.339127582814,"Administração pública",3049,0,0.94,68.06,13.33,114.78,100,0.61,100,100,85.1179673321234,90.4388714733542,0,83.034236986127,17.3078399754281
18,"Barbosa",71.9417486431428,"Araçatuba","Araçatuba",89433,12.3338849813819,"Administração pública",7251,0.574846625766871,0.64,72.58,11.99,113.7,98.91,0.54,97.01,93.69,90.562613430127,91.5360501567398,0.0423718115382858,84.7397225404098,19.0432312063273
19,"Conchal",71.8853533542973,"Limeira","Campinas",656033,23.8089932496189,"Administração pública",27554,12.7536804457225,0.86,113.76,6.38,277.91,99.03,0.55,92.47,77.96,86.5698729582577,91.3793103448276,0.940070829405603,91.879852360952,34.8537203409353
20,"Nuporanga",71.8029797608471,"São Joaquim da Barra","Franca",527532,71.8610543522681,"Administração pública",7341,2.40996479826699,1.31,145.08,30.03,170.82,98.38,0.63,99.34,99.34,78.4029038112523,90.1253918495298,0.177637946660723,61.7793050782741,46.8785994010597
21,"Rio Claro",71.6545419139749,"Rio Claro","Campinas",9418391,46.4069878591982,"Administração pública",202952,0,2.85,234.78,15.2,236.02,100,1.72,97.79,89.98,50.453720508167,73.0407523510972,0,80.654193712613,81.3176687399217
22,"Guaimbê",71.4546951443256,"Lins","Bauru",72070,12.5623147986753,"Administração pública",5737,0,0.23,76.53,14.27,376.79,99.9,0.05,86.06,86.06,98.0036297640653,99.2163009404389,0,81.8378515973018,20.5597788527989
23,"Santa Lúcia",71.3253556235435,"Araraquara","Região Administrativa Central",127361,14.5422470883763,"Administração pública",8758,0,0.53,57.51,17.8,162.03,93.42,0.25,98.97,98.97,92.5589836660617,96.0815047021944,0,77.3450426371389,13.2573139829532
24,"Itirapina",71.2547047556686,"Rio Claro","Campinas",386254,21.9599749843652,"Administração pública",17589,13.8400172971767,1.69,164.59,3.85,250.04,79.39,2,100,100,71.5063520871144,68.6520376175549,1.02014446691805,95.0999109074711,54.3691929662904
25,"Novais",71.1405280615554,"Catanduva","São José do Rio Preto",60081,10.87045413425,"Administração pública",5527,0,0.24,100.32,0,348.05,91.05,0.21,92.31,61.54,97.8221415607985,96.7084639498433,0,100,29.6936189818014
26,"Bálsamo",71.1209956692885,"São José do Rio Preto","São José do Rio Preto",203308,22.823080377189,"Administração pública",8908,0.476428730264621,0.59,83.64,0,192.8,100,0.47,80.77,80.77,91.470054446461,92.6332288401254,0.0351174512736624,100,23.2895646164478
27,"Bariri",70.9234350145718,"Jaú","Bauru",1146339,33.129269984394,"Administração pública",34602,1.8774634592832,1.03,99.28,13.3,199.06,99.91,0.76,91.7,91.7,83.4845735027223,88.0877742946709,0.138387396395761,83.0724194985363,29.2943254242494
28,"Clementina",70.8877261766146,"Araçatuba","Araçatuba",245147,29.7003876908166,"Administração pública",8254,30.7521069405099,1.48,115.7,18.31,143.88,95.31,0.96,98.48,98.48,75.3176043557169,84.9529780564263,2.26673067437807,76.6959399261805,35.598556400215
29,"Holambra",70.6305858698934,"Campinas","Campinas",908165,64.8133742506423,"Empresa privada",14012,254.71569723575,2.11,140.44,20.96,282.96,95,1.98,100,100,63.8838475499093,68.9655172413793,18.7750350012375,73.3231513300242,45.0971358365968
30,"Reginópolis",70.5801415864521,"Bauru","Bauru",147144,16.2733908427339,"Administração pública",9042,0,1.02,122.35,18.25,121.21,94.1,0.77,94.57,89.45,83.6660617059891,87.9310344827586,0,76.7723049509991,38.1517315518698
31,"Braúna",70.5406512240765,"Araçatuba","Araçatuba",94531,17.0111570991542,"Administração pública",5557,0,1.66,194.17,0,161.06,88.15,1.59,81.66,81.66,72.0508166969147,75.0783699059561,0,100,65.7260231897412
32,"João Ramalho",69.5904047829293,"Tupã","Marília",179068,40.0778871978514,"Administração pública",4468,0,1.71,283.44,38.45,138.77,85.38,0.85,81.23,81.23,71.1433756805808,86.6771159874608,0,51.0627465953926,100
33,"Rancharia",69.4854123129185,"Presidente Prudente","Presidente Prudente",1323712,44.3885852251769,"Administração pública",29821,11.7892751279978,0.85,82.39,30.44,174.26,93.47,0.57,99.83,99.83,86.7513611615245,91.0658307210031,0.868984736981148,61.2574774086802,22.8096444751593
34,"Américo de Campos",69.3646784001322,"Votuporanga","São José do Rio Preto",104697,17.5460030165913,"Administração pública",5967,13.5661568166555,0.65,85.72,4.98,246.04,85.63,0.48,83.84,83.84,90.3811252268602,92.4764890282132,0.999958274378523,93.6617029400534,24.0881517315519
35,"Taiaçu",69.3078659681323,"Barretos","Barretos",92579,14.8007993605116,"Administração pública",6255,0,0.73,113.56,30.99,190.65,100,0.55,89.41,89.41,88.929219600726,91.3793103448276,0,60.557464681176,34.7769331183291
36,"Ituverava",69.0446633996129,"Franca","Franca",1619182,39.0974549669194,"Administração pública",41414,9.01824534833405,1.17,103.92,37.67,248.83,100,0.79,100,100,80.9437386569873,87.6175548589342,0.664732774234986,52.0554919180349,31.0757889887123
37,"Catanduva",68.9198630460707,"Catanduva","São José do Rio Preto",3974659,32.932521894756,"Administração pública",120691,24.8007245276792,1.97,146.42,8.6,208.58,98.28,2.45,100,86.78,66.4246823956443,61.5987460815047,1.82805565623332,89.0543464426626,47.3930737925209
38,"Mirassolândia",68.9185134186273,"São José do Rio Preto","São José do Rio Preto",110125,23.145229087852,"Administração pública",4758,0,0.12,25.39,0,411.06,100,0.07,75.76,75.76,100,98.9028213166144,0,100,0.925286032404208
39,"Borá",68.8705881321347,"Tupã","Marília",74165,88.3969010727056,"Soc. de Econ. Mista com Adm. Pública",839,11.8997727272727,2.69,112.85,0,153.75,100,2.41,100,100,53.3575317604356,62.2257053291536,0.877129489410828,100,34.5043384780772
40,"Adolfo",68.7769415369163,"São José do Rio Preto","São José do Rio Preto",99735,27.6350789692436,"Soc. de Econ. Mista com Adm. Pública",3609,48.2185886306357,2.7,105.91,0,185,99.89,2.44,100,100,53.1760435571688,61.7554858934169,3.55418099110145,100,31.8398218536436
41,"Santópolis do Aguapeí",68.7721236818883,"Araçatuba","Araçatuba",60817,12.9756774055899,"Soc. de Econ. Mista com Adm. Pública",4687,347.735707347973,2.7,73.94,0.03,143.77,89.93,2.43,100,100,53.1760435571688,61.9122257053291,25.6315183849688,99.9618174875907,19.5653843200491
42,"Ouroeste",68.674969551293,"Fernandópolis","São José do Rio Preto",439499,44.4072951399414,"Soc. de Econ. Mista com Adm. Pública",9897,22.4335992925224,2.83,120.39,0.64,172.93,100,2.53,100,100,50.8166969147005,60.3448275862069,1.65357540383941,99.1854397352679,37.3992167703294
43,"São João das Duas Pontes",68.6586963523658,"Fernandópolis","São José do Rio Preto",42032,16.159938485198,"Soc. de Econ. Mista com Adm. Pública",2601,63.1596503496503,2.77,111.99,2.13,153.39,99.96,2.47,100,100,51.9056261343013,61.2852664576802,4.6554831871358,97.2890416189385,34.1741534208708
44,"Paranapuã",68.4947876760943,"Jales","São José do Rio Preto",98637,24.3488027647494,"Soc. de Econ. Mista com Adm. Pública",4051,16.295444471805,2.74,111.33,0.46,158.78,100,2.49,100,100,52.4500907441016,60.9717868338558,1.20113343480238,99.4145348097238,33.9207555862704
45,"Santana da Ponte Pensa",68.4358432470573,"Jales","São José do Rio Preto",34554,22.2212218649518,"Soc. de Econ. Mista com Adm. Pública",1555,90.4613271400133,2.69,117.75,0,174.59,88.85,2.41,100,100,53.3575317604356,62.2257053291536,6.66788345494149,100,36.3856254319281
